place,frequency,lat,lon
エトナ,11,58.7523778,25.3319078
ニオ,3,36.7173281,25.3331121184615
キング,1,58.37546015,25.4234099140612
ブルガリア,1,42.6073975,25.4856617
フィンランド,3,63.2467777,25.9209164
レスボス,1,39.17584185,25.9989134502324
ブカレスト,2,44.4361414,26.1027202
ムカ,6,45.3358423,27.8228998
ロードス,1,36.17262995,27.9194181456332
ロス,10,46.9885631,27.956855
エゾ,17,5.60302335,27.9948284339438
えぞ,14,5.60302335,27.9948284339438
ラウ,10,46.2398971,28.0178113
プレトリア,1,-25.7459277,28.1879101
ボスポラス,1,41.1125259,29.0718600749309
エジプト,109,26.2540493,29.2675469
ビルマ,22,-1.2905966,29.3550100736314
ギゼー,9,29.05403575,29.4190807303687
スーダン,2,14.5844444,29.4917691
スダン,1,14.5844444,29.4917691
ホル,3,38.013027,30.136276
バレ,1,37.77035,30.5556933
オデッサ,3,46.4843023,30.7322878
ロゼッタ,1,30.7787596,30.7570732
オズ,12,51.9191343,30.8243039
エルバ,2,2.957039,30.916447
クリサ,2,46.9637174,30.9699214
タンタ,6,30.7833666,30.9982536
アジア,109,2.91583,31.026949
から,6,30.0443879,31.2357257
アムール,1,3.1288655,32.1024832754124
スエズ,14,29.4165427,32.1490967
ポートサイド,6,31.1821275,32.3725819650013
キゴ,1,0.2051596,32.5967298
ヌビア,2,22.988327,32.6904145799291
クリン,1,51.1340232,32.7943949
キプロス,1,34.9823018,33.1451285
トロイ,14,3.0437752,34.1358452
パレスチナ,10,31.46242095,34.2627165721307
クリミア,4,45.21061175,34.4177725951098
ガト,2,31.70137445,34.8501538970819
イスラエル,97,30.8124247,34.8594762
タバ,3,29.492821,34.892366
トルコ,56,38.9597594,34.9249653
とるこ,3,38.9597594,34.9249653
ベツレヘム,3,31.7043556,35.2061876
エルサレム,19,31.7788242,35.2257626
ダマスクス,3,31.7816733,35.2304533026409
ゲッセマネ,2,31.7793496,35.2401983
ナザレ,19,32.7066301,35.3048161
わた,8,33.8798562,35.4934932186915
ベイルート,1,33.88922645,35.5025585289523
ガリラヤ,3,32.80084435,35.5889731836508
かせ,20,38.7829364,35.6531622
レバノン,5,33.8750629,35.843409
アンマン,1,31.9515694,35.9239625
ナクル,1,-0.2802724,36.0712048
ダラ,10,32.6224342,36.1109696
ハリコフ,3,49.9923181,36.2310146
ヨルダン,1,31.1667049,36.941628
モシ,12,-3.3486456,37.3435249
モスクワ,2,55.7504461,37.6174943
エチオピア,7,10.2116702,38.6521203
シリア,15,34.6401861,39.0494106
ジッダ,1,21.5810088,39.1653612
ダムダム,12,-6.9091579,39.2878517
アゾフ,1,47.1139219,39.4259657
ロストフ,3,47.2216548,39.7096061
ピッツバーグ,1,43.5874086,39.7204041
ペンバ,1,-5.16906245,39.799425084716
