place,frequency,lat,lon
八重山,50,31.7344652,130.4483246
群馬,50,39.5675897,2.6548577
千本,50,34.9425194,134.4943209
本町,50,34.6820183,135.4987206
浪華,50,35.2227019,140.3794316
愛蘭,50,48.8695169,2.3345894
釧路,50,42.9906837,144.3820381
京阪,50,35.1876271,133.9109551
尾崎,50,34.3615973,135.2406692
大将軍,50,35.0238467,135.7315732
目黒,50,35.6327942,139.7160514
大井,50,34.7432049,133.8052556
セエヌ,50,-0.6263536,73.1791074705682
きぬ,49,0.95,33.283333
桂川,49,35.139631,135.636724
箕作,49,34.7254371,138.9380569
常磐,49,43.581129,142.130998
高崎,49,36.3208614,139.0122633
槍ヶ岳,49,36.34198,137.6476291
石見,49,34.5715396,135.7858115
スイス,49,46.7985624,8.2319736
因幡,49,31.4889195,114.8322225
落合,49,47.3241456,142.7979361
くて,48,40.4735959,19.7676025
般若,48,35.4076957,133.7206135
筑後,48,22.708208,120.335207
丸の内,48,35.6804388,139.765181032057
十勝,48,35.5895773,139.4975602
朝霧,47,34.6438756,135.018113
船橋,47,35.7016567,139.9852496
遠江,47,28.973928,112.560755
新富,47,24.931095,121.0675566
水島,47,35.5753928,133.1701723
門司,47,33.9043043,130.9328578
北極,47,53.4802483,122.3547463
江州,47,22.5571351,107.4596528
新羅,47,25.2173672,117.0661913
志賀,47,35.2018209,135.9245843
荒尾,47,32.9947486,130.4347314
イタリヤ,47,25.8594939,74.8190617
金井,47,37.3723075,126.943397
竹生,46,35.452737,134.2049132
鴨川,46,34.3068625,133.9051397
大谷,46,34.2987495,135.4942703
讃岐,46,34.7763752,135.5451642
善光寺,46,36.6614233,138.187657684033
野路,46,26.122719,112.6788437
三好,46,31.9379757,118.2812659
北欧,46,35.4280851,139.6461433
伊那,46,35.838166,137.869905
神保町,46,35.6959719,139.7583937
天竜,46,35.3354672,134.6077738
切明,46,40.5113032,140.7347774
亀山,45,34.8502999,136.4503325
神崎,45,35.4123035,139.3887456
天王寺,45,34.6473432,135.5152413
こま,45,34.6422939,50.8801184
橋本,45,35.5948686,139.3449124
ニヤ,45,-19.0536414,-169.861341
大井川,45,35.166902,138.178604
泊,45,52.1458506,17.397672
奉天,45,37.4823889,126.9419387
北陸,45,39.796246,122.7849693
八郎,45,34.341439,104.504788
オーストリア,45,47.59397,14.12456
只見,45,37.3502724,139.314871
不彌,45,42.3501894,-71.1007099274242
朝子,45,39.7836465,141.1488576
久保田,45,33.255675,130.2288558
壬生,44,36.4226613,139.8051121
百済,44,34.5441499,135.7655883
新島,44,34.381297,139.265447476914
米沢,44,37.9094604,140.1284431
五条,44,34.3558348,135.6988469
池上,44,35.5720205,139.703049
揚州,44,32.3968554,119.4077658
道頓堀,44,34.6690306,135.5015715
古志,44,28.231583,129.2784834
馬籠,43,25.3813855,103.5219985
ワシントン,43,38.8950368,-77.0365427
ボストン,43,42.3554334,-71.060511
お茶の水,43,35.6059113,140.1256605
北宋,43,38.1235968,140.8902661
汲,43,39.0000001,116
マドリッド,43,40.47340315,-3.82951049211407
河南,43,34.0000001,113.9999999
西川,43,33.0182898,111.4259483
ポ,43,52.1458506,17.397672
真砂町,43,31.5600827,130.5523925
琅,43,29.0185321,93.116291
広東,43,23.1357694,113.1982688
千駄木,42,35.7255677,139.7632458
六条,42,36.028026,136.239973
今川,42,31.5365939,101.8098326
柳田,42,39.2764123,140.5538799
大西,42,34.0661031,132.9291502
大隅,42,25.403041,114.3566689
天満,42,34.7049267,135.5123086
さか,42,46.6617186,22.469189
桜田,42,35.846393,140.4414533
但馬,42,34.5704011,135.7672727
愛知,42,35.1968074,136.864835232295
阿蘭陀,42,51.48494655,-2.54481669752918
伯耆,42,35.7529706,140.8201321
ユタ,42,39.4225192,-111.714358
ポルトガル,42,39.6621648,-8.1353519
赤石,42,30.078438,119.1908662
井田,42,22.5561853,114.0385546
大唐,41,23.08051245,113.316253419733
田町,41,35.6457358,139.7476833
櫻島,41,31.5805744,130.657984
迦葉,41,25.6521,108.364
西欧,41,25.082587,121.5643534
宇都宮,41,36.5592983,139.8981571
興津,41,35.052559,138.5219742
雨龍,41,26.8265328,100.2350414
ボルネオ,41,1.4297828,114.741041303837
矢部,41,35.5730985,139.3867585
ベキ,41,8.5181445,-12.5294716
小竹,41,33.6966012,130.7105537
玉造,41,34.6746064,135.5304752
美作,41,35.0083742,134.1489028
唐松,41,34.964647,133.512144
清川,40,32.5871424,105.2355773
加茂川,40,37.6235027,139.1036406
掛合,40,21.0158848,-101.25284
瑞西,40,23.505989,121.367097
葛木,40,33.225099,131.67247
バビロン,40,34.662782,135.507033
湯河原,40,35.1462344,139.1021928
陸前,40,24.271195,117.964731
アフラ,40,8.037222,7.876389
會津,40,35.4580532,139.5146835
徳,40,51.1638175,10.4478313
トゥーン,40,14.4836158,-16.1289826
湯村,40,23.31034475,113.559353517669
桑港,39,35.4948589,135.744172701092
絳,39,35.4824861,111.6234837
駿府,39,22.8546663,111.8078586
西片,39,24.6349883,116.9495863
馬関,39,23.0156398,104.3923205
小日向,39,36.7656395,138.9731854
久留米,39,33.320487,130.5013889
唐津,39,33.4462729,129.9677507
満州,39,22.0213231,120.8388993
イヨ,39,33.7578962,132.7039458
笹部,39,34.8937627,135.4160669
八王子,38,35.655389,139.3394669
松尾,38,35.6360158,140.4576611
日向,38,35.6283537,140.3627718
磐城,38,34.5113689,135.7108183
